place,rent,lat,lon
"Castleisland, Kerry",482.6,52.232897,-9.460149
"Dingle, Kerry",462.5,52.138761,-10.270536
"Kenmare, Kerry",483.07,51.880097,-9.583517
"Killarney, Kerry",614.45,52.059935,-9.504427
"Killorglin, Kerry",504.23,52.106351,-9.78434
"Listowel, Kerry",468.02,52.446049,-9.485365
"Tralee, Kerry",526.43,52.27131,-9.699932
Kildare,815.9,53.162878,-6.908572
Kildare Town,764.01,53.158934,-6.909568
"Athy, Kildare",546.33,52.991834,-6.985728
"Castledermot, Kildare",604.8,52.908961,-6.847381
"Celbridge, Kildare",941.08,53.339897,-6.538459
"Clane, Kildare",849.04,53.293785,-6.68704
"Kilcock, Kildare",799.38,53.399427,-6.668123
"Kilcullen, Kildare",764.94,53.130287,-6.745279
"Kill, Kildare",842.09,53.248706,-6.590531
"Leixlip, Kildare",1002.55,53.363843,-6.490003
"Maynooth, Kildare",939.43,53.38129,-6.59185
"Monasterevin, Kildare",643.15,53.140065,-7.060377
"Naas, Kildare",860.76,53.220565,-6.659308
"Newbridge, Kildare",754.9,53.175076,-6.804747
"Rathangan, Kildare",674.58,53.221018,-6.994542
"Sallins, Kildare",841.73,53.251067,-6.665231
Kilkenny,608.2,52.654145,-7.244788
Kilkenny City,615.18,52.654145,-7.244788
"Callan, Kilkenny",566.51,52.544821,-7.392033
"Castlecomer, Kilkenny",651.11,52.806615,-7.216005
"Freshford, Kilkenny",615.19,52.732505,-7.396855
"Kells, Kilkenny",697.42,52.539532,-7.273154
"Thomastown, Kilkenny",583.44,52.527083,-7.138821
Laois,527.75,52.994295,-7.332301
"Mountmellick, Laois",475.39,53.118148,-7.326738
"Mountrath, Laois",493.59,53.00256,-7.47514
"Portarlington, Laois",490.95,53.161211,-7.187757
"Portlaoise, Laois",551.39,53.032812,-7.298793
Leitrim,401.83,53.992601,-8.065585
"Carrick-On-Shannon, Leitrim",406.3,53.945188,-8.085522
"Manorhamilton, Leitrim",384.63,54.304874,-8.176696
Limerick,626.79,52.66802,-8.630498
Limerick City,628.6,52.66802,-8.630498
"Abbeyfeale, Limerick",462.14,52.386181,-9.297082
"Annacotty, Limerick",796.46,52.668043,-8.537676
"Castleconnell, Limerick",637.52,52.715655,-8.493247
"Castletroy, Limerick",667.49,52.673978,-8.554262
"Corbally, Limerick",568.67,52.641446,-8.717191
"Dock Road, Limerick",475.95,52.655953,-8.647592
"Dooradoyle, Limerick",705.23,52.636186,-8.647475
"Glen, Limerick",604.61,52.590384,-8.559139
"Kilmallock, Limerick",482.79,52.399821,-8.575387
"Newcastle West, Limerick",494.9,52.44875,-9.054582
"Old Cratloe Road, Limerick",720.41,52.6774,-8.656916
"Raheen, Limerick",672.15,52.504339,-8.877732
Longford,401.84,39.169996,-97.331413
Longford Town,401.32,39.169996,-97.331413
"Ballymahon, Longford",386.27,53.564363,-7.764596
"Edgeworthstown, Longford",393.79,53.6911,-7.607203
"Newtownforbes, Longford",378.97,53.765484,-7.835621
Louth,631.4,53.365962,-0.007711
"Ardee, Louth",600.89,53.857623,-6.540001
"Drogheda, Louth",656.16,53.717856,-6.356099
"Dundalk, Louth",616.9,53.997945,-6.405957
Louth Town,620.68,53.365962,-0.007711
Mayo,506.43,53.934581,-9.351646
"Ballina, Mayo",532.82,54.114948,-9.155069
"Ballinrobe, Mayo",446.71,53.623734,-9.221114
"Ballyhaunis, Mayo",417.28,53.762838,-8.764596
"Belmullet, Mayo",553.95,54.2239,-9.987603
"Castlebar, Mayo",514.15,53.855001,-9.287926
"Charlestown, Mayo",388.56,53.964025,-8.792604
"Claremorris, Mayo",477.61,53.723876,-9.001736
"Foxford, Mayo",478.37,53.980773,-9.113245
"Swinford, Mayo",458.09,53.943702,-8.950006
"Westport, Mayo",608.05,53.802131,-9.514347
Meath,702.43,53.605548,-6.656417
"Ashbourne, Meath",846.64,53.511162,-6.397382
"Athboy, Meath",576.91,53.623633,-6.915637
"Bettystown, Meath",703.85,53.698324,-6.246068
"Clonee, Meath",918.13,53.410562,-6.4426
"Drogheda, Meath",763.91,53.717856,-6.356099
"Duleek, Meath",675.5,53.65475,-6.422175
"Dunboyne, Meath",923.05,53.419268,-6.475886
"Dunshaughlin, Meath",766.27,53.513523,-6.540252
"Enfield, Meath",745.98,53.414203,-6.829654
"Kells, Meath",561.81,53.726835,-6.874833
"Laytown, Meath",693.57,53.68063,-6.23745
"Navan, Meath",652,53.647092,-6.696661
"Ratoath, Meath",879.1,53.50629,-6.46568
"Stamullen, Meath",761.92,53.63023,-6.26834
"Trim, Meath",660.46,53.554826,-6.791115
Monaghan,487.52,54.249205,-6.968313
"Ballybay, Monaghan",421.43,54.129462,-6.902786
"Carrickmacross, Monaghan",513.82,53.977978,-6.718824
"Castleblayney, Monaghan",492.34,54.120659,-6.739737
Monaghan Town,523.09,54.249243,-6.968308
Offaly,527.68,53.235687,-7.712223
"Banagher, Offaly",488.86,53.186464,-7.995351
"Birr, Offaly",498.03,53.098005,-7.909688
"Clara, Offaly",482.1,53.34251,-7.61348
"Edenderry, Offaly",544.08,53.343284,-7.050583
"Tullamore, Offaly",554.77,53.275526,-7.493385
Roscommon,454.61,53.627591,-8.189096
"Athlone, Roscommon",590.21,53.423933,-7.94069
"Ballaghaderreen, Roscommon",358.68,53.901697,-8.579211
"Boyle, Roscommon",414.98,53.972208,-8.297276
"Castlerea, Roscommon",387.07,53.768657,-8.492454
Roscommon Town,504.22,53.627591,-8.189096
"Strokestown, Roscommon",377.23,53.775867,-8.103532
Sligo,583.82,54.27661,-8.476089
Sligo Town,566.83,54.27661,-8.476089
"Ballinode, Sligo",825.82,54.279559,-8.460417
"Ballisodare, Sligo",525.62,54.212116,-8.509037
"Ballymote, Sligo",443.05,54.089829,-8.517183
"Ballytivnan, Sligo",689.06,54.28166,-8.469008
"Collooney, Sligo",512.73,54.180329,-8.498829
"Lough Gill, Sligo",312.5,54.249686,-8.382528
"Strandhill, Sligo",701.69,54.26999,-8.59894
"Tubbercurry, Sligo",410.9,54.055226,-8.729824
Tipperary,529.59,52.473789,-8.161851
Tipperary Town,507.03,52.474726,-8.154443
"Ballina, Tipperary",634.36,52.807015,-8.430918
"Cahir, Tipperary",526.99,52.37453,-7.925247
"Carrick-On-Suir, Tipperary",526.97,52.34765,-7.418971
"Cashel, Tipperary",508.77,52.516757,-7.887675
"Clonmel, Tipperary",587.15,52.355817,-7.690255
"Fethard, Tipperary",528.01,52.470977,-7.696789
"Nenagh, Tipperary",506.98,52.864297,-8.197556
"Roscrea, Tipperary",537.37,52.955179,-7.79847
"Templemore, Tipperary",469.01,52.794802,-7.839861
"Thurles, Tipperary",511.85,52.680106,-7.804442
Waterford,540.92,52.256667,-7.129167
Waterford City,541.55,52.256667,-7.129167
"Ballytruckle, Waterford",0,52.250102,-7.109149
"Canada Street, Waterford",0,52.257911,-7.103043
"Castle Place, Waterford",381.94,52.255531,-7.111709
"Cork Road, Waterford",581.1,52.246329,-7.143171
"Dungarvan, Waterford",543.81,52.093676,-7.620363
"Dunmore East, Waterford",559.05,52.152767,-6.994804
"Dunmore Road, Waterford",678.71,52.240873,-7.070125
"Ferrybank, Waterford",594.5,52.267964,-7.094479
"Inner Ring Road, Waterford",276.28,52.248225,-7.114662
"Johns Hill, Waterford",0,52.243944,-7.09867
"Lismore, Waterford",571.74,52.135818,-7.93768
"Mary Street, Waterford",493.5,41.367388,-72.128915
"Penrose Lane, Waterford",482.56,52.262924,-7.117969
"Poleberry, Waterford",430.21,52.251919,-7.112042
"Portlaw, Waterford",456.24,52.288199,-7.314441
"Railway Square, Waterford",620.85,52.25472,-7.11199
"Scotch Quay, Waterford",464.47,52.258549,-7.102972
"Templars Hall, Waterford",744.43,52.256667,-7.129167
"Tramore, Waterford",541.37,52.161435,-7.149295
Westmeath,539.26,53.534531,-7.465322
"Athlone, Westmeath",570.86,53.423933,-7.94069
"Castlepollard, Westmeath",452.93,53.680072,-7.296451
"Kilbeggan, Westmeath",464.92,53.368457,-7.499463
"Kinnegad, Westmeath",540.77,53.45681,-7.104996
"Moate, Westmeath",502.34,53.394999,-7.718619
"Mullingar, Westmeath",527.34,53.525933,-7.338138
Wexford,544.39,52.336916,-6.463338
"Bunclody, Wexford",528.87,52.655086,-6.652193
"Clonard, Wexford",600.45,52.329268,-6.50287
"Enniscorthy, Wexford",518.47,52.502197,-6.56613
"Ferns, Wexford",531.77,52.590925,-6.49801
"Ford, Wexford",560.07,52.51334,-6.279823
"Gorey, Wexford",562.88,52.675735,-6.294302
"Mulgannon, Wexford",591.53,52.321832,-6.465856
"New Ross, Wexford",509.03,52.396204,-6.94719
"Rosslare, Wexford",564.39,52.272028,-6.389225
Wicklow,855.87,52.980821,-6.044589
Wicklow Town,827.75,52.980821,-6.044589
"Arklow, Wicklow",639.85,52.797693,-6.159929
"Baltinglass, Wicklow",613.51,52.940781,-6.71098
"Blessington, Wicklow",883.13,53.169658,-6.534069
"Bray, Wicklow",964.64,53.200903,-6.111074
"Delgany, Wicklow",1043.22,53.132611,-6.092331
"Greystones, Wicklow",1072.07,53.149118,-6.079341
"Kilcoole, Wicklow",953.25,53.106272,-6.064586
"Newtownmountkennedy, Wicklow",929.38,53.092782,-6.112023
"Rathnew, Wicklow",791.59,52.9946,-6.082812
